IB token,address,decimals,version
aAAVE,0xFFC97d72E13E01096502Cb8Eb52dEe56f74DAD7B,18,v2
aBAL,0x272F97b7a56a387aE942350bBC7Df5700f8a4576,18,v2
aBAT,0x05Ec93c0365baAeAbF7AefFb0972ea7ECdD39CF1,18,v2
aBUSD,0xA361718326c15715591c299427c62086F69923D9,18,v2
aCRV,0x8dAE6Cb04688C62d939ed9B68d32Bc62e49970b1,18,v2
aDAI,0x028171bCA77440897B824Ca71D1c56caC55b68A3,18,v2
aENJ,0xaC6Df26a590F08dcC95D5a4705ae8abbc88509Ef,18,v2
aGUSD,0xD37EE7e4f452C6638c96536e68090De8cBcdb583,2,v2
aKNC,0x39C6b3e42d6A679d7D776778Fe880BC9487C2EDA,18,v2
aLINK,0xa06bC25B5805d5F8d82847D191Cb4Af5A3e873E0,18,v2
aMANA,0xa685a61171bb30d4072B338c80Cb7b2c865c873E,18,v2
aMKR,0xc713e5E149D5D0715DcD1c156a020976e7E56B88,18,v2
aREN,0xCC12AbE4ff81c9378D670De1b57F8e0Dd228D77a,18,v2
aSNX,0x35f6B052C598d933D69A4EEC4D04c73A191fE6c2,18,v2
aSUSD,0x6C5024Cd4F8A59110119C56f8933403A539555EB,18,v2
aTUSD,0x101cc05f4A51C0319f570d5E146a8C625198e636,18,v2
aUNI,0xB9D7CB55f463405CDfBe4E90a6D2Df01C2B92BF1,18,v2
aUSDC,0xBcca60bB61934080951369a648Fb03DF4F96263C,6,v2
aUSDT,0x3Ed3B47Dd13EC9a98b44e6204A523E766B225811,6,v2
aWBTC,0x9ff58f4fFB29fA2266Ab25e75e2A8b3503311656,8,v2
aWETH,0x030bA81f1c18d280636F32af80b9AAd02Cf0854e,18,v2
aXSUSHI,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,18,v2
aYFI,0x5165d24277cD063F5ac44Efd447B27025e888f37,18,v2
aZRX,0xDf7FF54aAcAcbFf42dfe29DD6144A69b629f8C9e,18,v2
aETH,0x3a3A65aAb0dd2A17E3F1947bA16138cd37d08c04,18,v1
aDAI,0xfC1E690f61EFd961294b3e1Ce3313fBD8aa4f85d,18,v1
aUSDC,0x9bA00D6856a4eDF4665BcA2C2309936572473B7E,6,v1
aSUSD,0x625aE63000f46200499120B906716420bd059240,18,v1
aTUSD,0x4DA9b813057D04BAef4e5800E36083717b4a0341,18,v1
aUSDT,0x71fc860F7D3A592A4a98740e39dB31d25db65ae8,6,v1
aBUSD,0x6Ee0f7BB50a54AB5253dA0667B0Dc2ee526C30a8,18,v1
aBAT,0xE1BA0FB44CCb0D11b80F92f4f8Ed94CA3fF51D00,18,v1
aENJ,0x712DB54daA836B53Ef1EcBb9c6ba3b9Efb073F40,18,v1
aKNC,0x9D91BE44C06d373a8a226E1f3b146956083803eB,18,v1
aAAVE,0xba3D9687Cf50fE253cd2e1cFeEdE1d6787344Ed5,18,v1
aLINK,0xA64BD6C70Cb9051F6A9ba1F163Fdc07E0DfB5F84,18,v1
aMANA,0x6FCE4A401B6B80ACe52baAefE4421Bd188e76F6f,18,v1
aMKR,0x7deB5e830be29F91E298ba5FF1356BB7f8146998,18,v1
aREN,0x69948cC03f478B95283F7dbf1CE764d0fc7EC54C,18,v1
aREP,0x71010A9D003445aC60C4e6A7017c1E89A477B438,18,v1
aSNX,0x328C4c80BC7aCa0834Db37e6600A6c49E12Da4DE,18,v1
aUNI,0xB124541127A0A657f056D9Dd06188c4F1b0e5aab,18,v1
aWBTC,0xFC4B8ED459e00e5400be803A9BB3954234FD50e3,8,v1
aYFI,0x12e51E77DAAA58aA0E9247db7510Ea4B46F9bEAd,18,v1
aZRX,0x6Fb0855c404E09c47C3fBCA25f08d4E41f9F062f,18,v1
aLEND,0x7D2D3688Df45Ce7C552E19c27e007673da9204B8,18,v1
aAmmWETH,0xf9Fb4AD91812b704Ba883B11d2B576E890a6730A,18,amm
aAmmDAI,0x79bE75FFC64DD58e66787E4Eae470c8a1FD08ba4,18,amm
aAmmUSDC,0xd24946147829DEaA935bE2aD85A3291dbf109c80,18,amm
aAmmUSDT,0x17a79792Fe6fE5C95dFE95Fe3fCEE3CAf4fE4Cb7,18,amm
aAmmWBTC,0x13B2f6928D7204328b0E8E4BCd0379aA06EA21FA,18,amm
aAmmUniDAIWETH,0x9303EabC860a743aABcc3A1629014CaBcc3F8D36,18,amm
aAmmUniWBTCWETH,0xc58F53A8adff2fB4eb16ED56635772075E2EE123,18,amm
aAmmUniAAVEWETH,0xe59d2FF6995a926A574390824a657eEd36801E55,18,amm
aAmmUniBATWETH,0xA1B0edF4460CC4d8bFAA18Ed871bFF15E5b57Eb4,18,amm
aAmmUniDAIUSDC,0xE340B25fE32B1011616bb8EC495A4d503e322177,18,amm
aAmmUniCRVWETH,0x0ea20e7fFB006d4Cfe84df2F72d8c7bD89247DB0,18,amm
aAmmUniLINKWETH,0xb8db81B84d30E2387de0FF330420A4AAA6688134,18,amm
aAmmUniMKRWETH,0x370adc71f67f581158Dc56f539dF5F399128Ddf9,18,amm
aAmmUniRENWETH,0xA9e201A4e269d6cd5E9F0FcbcB78520cf815878B,18,amm
aAmmUniSNXWETH,0x38E491A71291CD43E8DE63b7253E482622184894,18,amm
aAmmUniUNIWETH,0x3D26dcd840fCC8e4B2193AcE8A092e4a65832F9f,18,amm
aAmmUniUSDCWETH,0x391E86e2C002C70dEe155eAceB88F7A3c38f5976,18,amm
aAmmUniWBTCUSDC,0x2365a4890eD8965E564B7E2D27C38Ba67Fec4C6F,18,amm
aAmmUniYFIWETH,0x5394794Be8b6eD5572FCd6b27103F46b5F390E8f,18,amm
aAmmBptWBTCWETH,0x358bD0d980E031E23ebA9AA793926857703783BD,18,amm
aAmmBptBALWETH,0xd109b2A304587569c84308c55465cd9fF0317bFB,18,amm
